"","Compound_ID","Name","Formula","Molecular.Weight","RT.[min]","m/z","mzCloud_Results","mzVault_Results","MassList_Results","Class_I","Class_II","Class_III","Class_IV","MOLM13_WT_1","MOLM13_WT_2","MOLM13_WT_3","MOLM13_6w_1","MOLM13_6w_3","MV4_11_6w_1","meanA","meanB","logFC","pvalue","qvalue","change","VIP"
"N-lactoyl-phenylalanine","Com_1588_neg","N-lactoyl-phenylalanine","C12 H15 N O4",237.10021,5.779,236.09294,"No results","No results","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Phenylalanine and derivatives",3170959.76,2810741.129,3300867.327,7522407.38299999,10095863.13,59246101.38,23.9767469386392,21.5578070057217,2.41893993291753,0.12063169776368,0.325956644652492,"stable",1.39900068159124
"4-Hydroxyisoleucine","Com_119_neg","4-Hydroxyisoleucine","C6 H13 N O3",147.08948,5.064,146.0822,"No results","No results","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Isoleucine and derivatives",129417034.3,140752646,164325074.9,169659070.1,174364786.8,262177851.8,27.5605224557862,27.1026721619224,0.457850293863824,0.138891606337318,0.336604656783105,"stable",1.25509331319013
"Asp-Glu","Com_1037_neg","Asp-Glu","C9 H14 N2 O7",262.07994,1.473,261.07267,"No results","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Dipeptides",26089695.51,33438966.31,41174969.79,35371047.4,28333610.26,23071750.31,24.7639002769131,24.9757559804183,-0.21185570350524,0.461972671699415,0.507763014875735,"stable",0.665295429951774
"S-Lactoylglutathione","Com_1828_neg","S-Lactoylglutathione","C13 H21 N3 O8 S",379.10505,3.377,378.09778,"Full match","No results","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Oligopeptides",10921090.89,15063132.02,14061246.23,5865331.78200001,4702626.196,8063571.472,22.5306013523163,23.6567844013778,-1.12618304906142,0.0192953740122215,0.233249530854824,"down",1.59701278096856
"LPC 18:0","Com_550_neg","LPC 18:0","C26 H54 N O7 P",569.36963,10.335,568.36235,"No results","Invalid mass","No results","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphocholines","Phosphocholines",64050051.19,53217948.01,34964758.94,22685281.29,71937617.73,36509997.16,25.2190948274086,25.5525013862137,-0.333406558805148,0.585038841853171,0.549608932850917,"stable",0.514253932856882
"LPE 16:1","Com_563_neg","LPE 16:1","C21 H42 N O7 P",451.27005,8.863,450.26278,"No results","Full match","No results","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphoethanolamines","1-acyl-sn-glycero-3-phosphoethanolamines",32009649.76,26055072.04,24133120.08,17042716.5,44059520.24,39480750.24,24.8834161645887,24.6971918586588,0.186224305929947,0.714005981236731,0.582138094630474,"stable",0.358257641025089
"L-serine","Com_739_neg","L-serine","C3 H7 N O3",105.04256,1.246,140.01193,"No results","No results","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Serine and derivatives",11928900.07,22269080.14,12039242.54,24841985.32,23843439.23,7018779.16600001,23.938718277985,23.8125792026619,0.126139075323049,0.862591262717336,0.626757078520286,"stable",0.16596605369992
"Guanosine 5'-diphosphate (GDP)","Com_900_neg","Guanosine 5'-diphosphate (GDP)","C10 H15 N5 O11 P2",443.02429,1.868,442.01701,"Full match","No results","Full match","Nucleosides, nucleotides, and analogues","Purine nucleotides","Purine ribonucleotides","Purine ribonucleoside diphosphates",153113314.1,144513877.6,179524514.8,174776869.7,171785674.1,95199091.7500001,27.0804726632532,27.2387543068134,-0.15828164356029,0.645323130462223,0.565965280536238,"stable",0.446528649834853
"Adenosine triphosphate (ATP)","Com_91_neg","Adenosine triphosphate (ATP)","C10 H16 N5 O13 P3",506.99578,1.54,505.9885,"Full match","No results","Full match","Nucleosides, nucleotides, and analogues","Purine nucleotides","Purine ribonucleotides","Purine ribonucleoside triphosphates",1101837376,1457071065,1655392265,1946007447,1931024895,1259273070,30.6448445727853,30.3674047445234,0.27743982826188,0.364567987890863,0.465021197165925,"stable",0.806317567161486
"LPE 20:5","Com_1552_neg","LPE 20:5","C25 H42 N O7 P",499.27,8.633,498.26272,"No results","Full match","No results","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphoethanolamines","1-acyl-sn-glycero-3-phosphoethanolamines",13301922.82,8428327.65499999,9015512.42300001,5577121.837,18444070.85,8938632.133,23.213121926148,23.2586415008666,-0.045519574718675,0.939016872925305,0.646393114567134,"stable",0.0740947174421444
"Capryloylglycine","Com_140_neg","Capryloylglycine","C10 H19 N O3",201.13656,5.805,200.12928,"Full match","No results","No results","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","N-acyl-alpha amino acids",115653526.1,136804469,107266765.6,136455232.9,150933613.6,235484466.8,27.3347493446292,26.8298006816911,0.504948662938094,0.160483092792255,0.346670297627251,"stable",1.22302028512348
"LPE 22:5","Com_1137_neg","LPE 22:5","C27 H46 N O7 P",527.30144,9.125,526.29416,"No results","Full match","No results","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphoethanolamines","1-acyl-sn-glycero-3-phosphoethanolamines",14401050.86,14111877.34,9225044.561,7393066.14800001,11536491.93,21024004.62,23.5343256021478,23.5557339314959,-0.0214083293481551,0.967644652535643,0.65322682366083,"stable",0.0390193917254859
"Biopterin","Com_20_neg","Biopterin","C9 H11 N5 O3",237.08575,6.245,236.07847,"No results","No results","Full match","Organoheterocyclic compounds","Pteridines and derivatives","Pterins and derivatives","Biopterins and derivatives",16828949.31,109794645.5,23144053.97,31419849.93,13055695.53,40371058.99,24.6033890105818,25.0596041617991,-0.456215151217332,0.668219906888361,0.571622162329609,"stable",0.404045522814717
"Gly-Phe","Com_410_neg","Gly-Phe","C11 H14 N2 O3",222.10046,5.246,221.0932,"No results","No results","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Peptides",11092814.51,15895130.6,9695661.027,10658883.99,3492641.643,5296889.12099999,22.4727180431436,23.511370495675,-1.03865245253143,0.144297025632618,0.339348055386915,"stable",1.25357723320623
"2-(Formylamino)Benzoic Acid","Com_2335_neg","2-(Formylamino)Benzoic Acid","C8 H7 N O3",165.04267,5.791,164.0354,"No results","No results","Full match",NA,NA,NA,NA,11823333.21,11445304.26,11029138.53,10588408.3,10710059.17,14801610.72,23.5025654517922,23.4460675771374,0.0564978746548448,0.757355575409283,0.595854479704179,"stable",0.305205976934959
"ADP-ribose","Com_742_neg","ADP-ribose","C15 H23 N5 O14 P2",559.07205,4.46,558.06484,"No results","No results","Full match","Nucleosides, nucleotides, and analogues","Purine nucleotides","Purine ribonucleotides","Purine ribonucleoside diphosphates",7422222.51700001,6922301.507,12317513.51,12228757.33,9984237.37100001,8711769.592,23.2831765472684,23.033482630352,0.249693916916382,0.462135477499367,0.507827768240289,"stable",0.682494170983815
"2-Isopropylmalate","Com_5750_neg","2-Isopropylmalate","C7 H12 O5",176.06857,5.424,175.06129,"No results","No results","Full match","Lipids and lipid-like molecules","Fatty Acyls","Fatty acids and conjugates","Hydroxy fatty acids",6457932.314,5082886.025,6440514.77,5696414.473,6251024.686,8246019.8,22.6641834847755,22.506200637406,0.157982847369492,0.47186829727306,0.511646645502231,"stable",0.65750007347169
"LPC O-16:1","Com_4759_neg","LPC O-16:1","C24 H50 N O6 P",525.34289,10.042,524.33561,"No results","Invalid mass","No results",NA,NA,NA,NA,5449957.571,124453751,94449924.14,39851077.27,103084947.9,48733054.6399999,25.8019237192159,25.2539647807202,0.547958938495736,0.745688320593873,0.592216994809759,"stable",0.31704466257164
"L-beta-Imidazolelactic acid","Com_1859_neg","L-beta-Imidazolelactic acid","C6 H8 N2 O3",156.05343,1.454,155.04615,"No results","No results","Full match","Organoheterocyclic compounds","Azoles","Imidazoles","Imidazolyl carboxylic acids and derivatives",1041268.479,1655480.588,1626519.707,3392296.628,3183431.184,5757174.44699999,21.9176371802254,20.4273620676494,1.49027511257593,0.0141114930157028,0.223025398391624,"up",1.60031374653298
"Spiculisporic Acid","Com_4460_neg","Spiculisporic Acid","C17 H28 O6",328.18888,6.454,327.18151,"No results","No results","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Tricarboxylic acids and derivatives","Tricarboxylic acids and derivatives",2082522.621,2778098.795,2293387.227,1901819.596,2427084.742,3783503.812,21.3070111628483,21.1748719158262,0.132139247022067,0.706224369617711,0.580420998178268,"stable",0.362481109877948
"N-Carbamyl-L-glutamicacid","Com_2078_neg","N-Carbamyl-L-glutamicacid","C6 H10 N2 O5",190.05891,1.484,171.04106,"No results","No results","Full match","Benzenoids","Benzene and substituted derivatives","Diphenylmethanes","Diphenylmethanes",18814552.55,21643589.18,6786462.657,4330662.107,20877511.69,9132332.50000001,23.1613848587756,23.7423368089657,-0.580951950190073,0.529403161758226,0.532302984352785,"stable",0.576607947399121
"LPE 18:2","Com_2409_neg","LPE 18:2","C23 H44 N O7 P",477.28556,9.153,476.27829,"No results","Full match","Full match","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphoethanolamines","1-acyl-sn-glycero-3-phosphoethanolamines",10158719.21,6945871.136,6739900.575,4838736.96,12177776.13,12793203.06,23.1176068762546,22.8960784263492,0.221528449905438,0.687808383236001,0.576245235224384,"stable",0.386234794459474
"Inosine","Com_1212_neg","Inosine","C10 H12 N4 O5",268.08069,3.57,267.07342,"No results","Full match","Full match","Nucleosides, nucleotides, and analogues","Purine nucleosides","Not available","Purine nucleosides",7259072.36899999,8194225.097,5993373.89499999,8630652.402,37020918.36,9005777.94,23.7617650034303,22.7574889368247,1.00427606660557,0.281234436543378,0.425656106717007,"stable",1.02708815429423
"LPC O-15:1","Com_7188_neg","LPC O-15:1","C23 H48 N O6 P",511.32724,9.475,510.31997,"No results","Invalid mass","No results",NA,NA,NA,NA,3727233.878,3394076.214,2647790.36,1754943.422,5476371.465,1489445.517,21.2113752960628,21.6202063061011,-0.408831010038288,0.564268400992343,0.543420711973165,"stable",0.56234050338508
"LPE 18:3","Com_3107_neg","LPE 18:3","C23 H42 N O7 P",475.27019,8.777,474.26291,"No results","Full match","No results","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphoethanolamines","1-acyl-sn-glycero-3-phosphoethanolamines",636031.256099999,478790.5231,650090.731800001,417545.9255,650609.589400001,1045455.091,19.3262358606857,19.1526849236231,0.173550937062615,0.703862082231862,0.579894259826831,"stable",0.367597332447073
"13-HPODE","Com_8050_neg","13-HPODE","C18 H32 O4",312.23022,6.95,311.22294,"No results","No results","Full match","Lipids and lipid-like molecules","Fatty Acyls","Lineolic acids and derivatives","Lineolic acids and derivatives",4651225.06,4699190.177,4500781.795,4052238.407,4814812.76099999,6688757.203,22.2742142120607,22.138301411629,0.135912800431669,0.587690815498652,0.550377267508216,"stable",0.537147756007297
"Dibutyl sebacate","Com_2805_neg","Dibutyl sebacate","C18 H34 O4",314.24517,8.274,313.23774,"No results","No results","Full match","Lipids and lipid-like molecules","Fatty Acyls","Fatty acid esters","Fatty acid esters",8019617.17800001,8704205.476,7297652.245,5766786.96,5693203.32,7195086.592,22.5595753691577,22.9291280320211,-0.369552662863445,0.0569375117347157,0.268180551583956,"stable",1.43750173109842
"Monobutyl phthalate","Com_128_neg","Monobutyl phthalate","C12 H14 O4",222.08925,6.412,221.08198,"Full match","No results","Full match","Benzenoids","Benzene and substituted derivatives","Benzoic acids and derivatives","Benzoic acid esters",267273670.5,237870462.6,254308540.5,216654370.4,202047396.9,269261423.6,27.7617903114919,27.9137826834678,-0.151992371975933,0.350272854571528,0.458533492571798,"stable",0.87180641545543
"LPE 14:0","Com_2114_neg","LPE 14:0","C19 H40 N O7 P",425.25445,8.631,424.24717,"No results","Full match","Full match","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphoethanolamines","1-acyl-sn-glycero-3-phosphoethanolamines",3088866.333,2241389.682,2162085.125,1273118.763,3749167.481,1940364.116,21.0019901314578,21.2328666562332,-0.230876524775461,0.670493301677634,0.572168668023407,"stable",0.411420504445566
"LPE 20:0","Com_4524_neg","LPE 20:0","C25 H52 N O7 P",509.34808,11.005,508.3408,"No results","Full match","Full match","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphoethanolamines","1-acyl-sn-glycero-3-phosphoethanolamines",2799895.299,2505154.872,1904785.385,1266486.55,2705242.73,3707540.969,21.1539193817941,21.1782022796369,-0.0242828978428093,0.964050717169993,0.652383452369313,"stable",0.0438795670385549
"Lipoic acid","Com_800_neg","Lipoic acid","C8 H14 O2 S2",206.04255,3.299,205.03527,"Full match","No results","Full match","Organoheterocyclic compounds","Dithiolanes","Lipoic acids and derivatives","Lipoic acids and derivatives",41524681.4,48837667.21,67401522.19,42080956.12,44416249.59,15256703.25,24.8647294359002,25.6184115183661,-0.753682082465843,0.269423277680148,0.419495965166564,"stable",1.0086383899622
"Lysops 22:6","Com_2698_neg","Lysops 22:6","C28 H44 N O9 P",569.27328,8.959,568.266,"No results","No results","Full match","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphoethanolamines","2-acyl-sn-glycero-3-phosphoethanolamines",27212887.47,21378219.15,21786681.98,8984297.913,2782879.32,66337185.4999999,23.4968119071362,24.4747894041144,-0.977977496978191,0.540566965540629,0.535967988476955,"stable",0.605445265568388
"PS 18:1_18:1","Com_6211_neg","PS 18:1_18:1","C42 H78 N O10 P",787.53847,9.91,786.5312,"No results","Full match","No results",NA,NA,NA,NA,11672973.9,71631903.6500001,13154658.8,1755426.209,3313554.517,6313006.781,21.664411339012,24.4066127549375,-2.74220141592554,0.0623841062533374,0.271844797029921,"stable",1.42759458127312
"Arachidonic acid","Com_2752_neg","Arachidonic acid","C20 H32 O2",304.24004,10.461,303.23277,"Full match","No results","Full match","Lipids and lipid-like molecules","Fatty Acyls","Fatty acids and conjugates","Long-chain fatty acids",30427896.57,29694782.58,26593114.73,13831299.62,15278446.41,19867105.6,23.9434354230322,24.7823822772312,-0.838946854199015,0.0216479498300446,0.236456301009764,"down",1.64134051667274
"5-Methoxyindole-3-Carbaldehyde","Com_7836_neg","5-Methoxyindole-3-Carbaldehyde","C10 H9 N O2",175.06323,4.895,174.05596,"No results","No results","Full match","Organoheterocyclic compounds","Indoles and derivatives","Indoles","Indoles",6992136.866,6230918.28200001,7424732.45,7397091.36800001,8431788.04699999,7527979.48900001,22.8899217009962,22.710740989457,0.179180711539168,0.135620235046964,0.334861477426013,"stable",1.21250833602995
"Docosahexaenoic Acid","Com_1755_neg","Docosahexaenoic Acid","C22 H32 O2",328.24015,9.913,327.23288,"Full match","No results","No results","Lipids and lipid-like molecules","Fatty Acyls","Fatty acids and conjugates","Very long-chain fatty acids",6730044.429,6033745.03100001,4542338.842,1523081.802,3861493.491,2288062.13,21.1816614345209,22.4406036001194,-1.25894216559848,0.0663283285970356,0.2747313984426,"stable",1.46550972410994
"Cholic acid","Com_14287_neg","Cholic acid","C24 H40 O5",408.2879,7.489,407.28062,"Full match","No results","Full match","Lipids and lipid-like molecules","Steroids and steroid derivatives","Bile acids, alcohols and derivatives","Trihydroxy bile acids, alcohols and derivatives",407237.9501,430274.5447,785018.695600001,439146.0197,465928.789,512341.9122,18.8469461808167,18.9775926464358,-0.13064646561914,0.711438244833031,0.58157453051407,"stable",0.364130713998652
"glutathione disulfide","Com_15510_neg","glutathione disulfide","C20 H32 N6 O12 S2",612.15299,5.413,611.14571,"No results","No results","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Peptides",187593.1705,169845.1687,101171.528,79147.38107,128176.3633,47026.25613,16.2537345232991,17.1725174166291,-0.918782893330036,0.151327394886143,0.342682068986528,"stable",1.19421258224445
"Deoxycytidine","Com_2023_neg","Deoxycytidine","C9 H13 N3 O4",227.09163,1.445,226.08484,"No results","No results","Full match","Nucleosides, nucleotides, and analogues","Pyrimidine nucleotides","Pyrimidine deoxyribonucleotides","Pyrimidine 2'-deoxyribonucleoside monophosphates",6846826,9477943.521,9122007.201,7851806.083,6456199.72,5345547.60900001,22.6255844025021,23.0013554767932,-0.375771074291141,0.160405587328788,0.346638079235039,"stable",1.15302514046857
