"","Compound_ID","Name","Formula","Molecular.Weight","RT.[min]","m/z","mzCloud_Results","mzVault_Results","MassList_Results","Class_I","Class_II","Class_III","Class_IV","MV4_11_WT_1","MV4_11_WT_2","MV4_11_WT_3","MV4_11_2w_1","MV4_11_2w_2","MV4_11_2w_3","MV4_11_6w_1","MV4_11_6w_2","MV4_11_6w_3","meanA","meanB","logFC","pvalue","qvalue","change","VIP"
"lithocholic acid","Com_19192_neg","lithocholic acid","C24 H40 O3",376.2975,9.068,375.29022,"No results","No results","Full match","Lipids and lipid-like molecules","Steroids and steroid derivatives","Bile acids, alcohols and derivatives","Monohydroxy bile acids, alcohols and derivatives",198017.6901,193023.9123,146563.4184,137531.0419,74406.4636099999,195735.6893,464046.5065,210718.0944,160985.1311,17.4394196445231,17.4382851283923,0.00113451613078297,0.997704792144656,0.941993003180624,"stable",0.00218736389991771
"PE O-21:2_16:1","Com_19221_neg","PE O-21:2_16:1","C42 H80 N O7 P",741.56581,8.823,740.55853,"No results","Full match","No results",NA,NA,NA,NA,210022.406,137169.454,393672.2566,133266.5997,145461.1292,137509.79,160045.2166,130591.8304,552171.2833,17.4334976957334,17.7774729875105,-0.343975291777017,0.564551957037605,0.901855125655419,"stable",0.600343135463741
"DL-Panthenol","Com_19243_neg","DL-Panthenol","C9 H19 N O4",205.13154,5.423,204.12427,"No results","No results","Full match","Lipids and lipid-like molecules","Fatty Acyls","Fatty amides","N-acyl amines",133476.3683,118306.0377,127212.885,103924.6795,321317.9068,163762.3064,190174.1389,209272.932,93147.53735,17.3332136968747,16.9450914229569,0.388122273917773,0.215197918115353,0.777911174576312,"stable",0.923565609113258
"4-Hydroxybenzoic acid","Com_19332_neg","4-Hydroxybenzoic acid","C7 H6 O3",138.02891,5.12,137.02164,"No results","Invalid mass","No results","Benzenoids","Benzene and substituted derivatives","Benzoic acids and derivatives","Hydroxybenzoic acid derivatives",355533.08,398986.4884,370914.3498,431743.1254,526794.832900001,433809.9082,471698.176800001,405379.137,138235.9925,18.5010982362632,18.5154437322321,-0.0143454959689073,0.962858261614887,0.94001960612219,"stable",0.0340816395127679
"Palmitic acid","Com_1368_neg","Palmitic acid","C16 H32 O2",256.24021,0.42,255.23294,"Full match","No results","No results","Lipids and lipid-like molecules","Fatty Acyls","Fatty acids and conjugates","Long-chain fatty acids",6536072.60499999,6062757.72,4021426.41,7245244.42300001,6623514.15499999,135782528.1,1191852.346,6203381.43100001,2329014.51,22.727529441895,22.3702704026075,0.357259039287484,0.729026879454587,0.922276497531193,"stable",0.255700411786645
"L-Cysteine-glutathione gisulfide","Com_60_neg","L-Cysteine-glutathione gisulfide","C13 H22 N4 O8 S2",426.08817,1.437,425.0809,"No results","No results","Full match",NA,NA,NA,NA,323430209.7,312774804.1,18894511.62,171743882.6,203769637.3,334447023.7,851416063.4,399179694.7,40070484.4799999,27.7948397625934,26.886964049781,0.907875712812409,0.587036498472199,0.905258102348525,"stable",0.70437766274475
"S-(Methyl)Glutathione","Com_163_neg","S-(Methyl)Glutathione","C11 H19 N3 O6 S",321.09941,2.738,320.09213,"No results","No results","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Peptides",38577689.02,47961576.13,176971137.1,88962194.37,66366289.57,35140537.18,22030691.97,43187178.76,111669690.8,25.6581738111906,26.0385259880609,-0.380352176870261,0.655508765447077,0.914306466572107,"stable",0.544593823133928
"AICA ribonucleotide","Com_78_neg","AICA ribonucleotide","C9 H15 N4 O8 P",338.0627,1.487,337.05544,"Full match","No results","Full match","Nucleosides, nucleotides, and analogues","Imidazole ribonucleosides and ribonucleotides","1-ribosyl-imidazolecarboxamides","1-ribosyl-imidazolecarboxamides",1097291.508,1135065.866,763953.614400001,47898397.11,126173744.7,108313755.1,515094412,106770761.8,673553495.100001,27.3420620152329,19.9076618396365,7.43440017559642,2.71103107043639e-05,0.00794328940681891,"up",2.54932944686528
"LPE 18:0","Com_135_neg","LPE 18:0","C23 H48 N O7 P",481.3171,10.238,480.30982,"No results","Full match","Full match","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphoethanolamines","1-acyl-sn-glycero-3-phosphoethanolamines",33722803.86,50814749.02,78037804.4,50947327.08,28149730.72,27483576.06,159984041.5,58244748.72,62943706.86,25.669620587471,25.6078783250391,0.0617422624319595,0.90875716218245,0.936674911702729,"stable",0.103456606537742
"3-Hydroxyanthranilic acid","Com_2171_neg","3-Hydroxyanthranilic acid","C7 H7 N O3",153.04262,6.12,152.03533,"Full match","No results","Full match","Benzenoids","Benzene and substituted derivatives","Benzoic acids and derivatives","Hydroxybenzoic acid derivatives",6404185.534,5932192.791,5253434.99,5466921.861,6450852.003,6650534.62,8407173.911,6111321.57,4526522.091,22.5541014196249,22.47851578112,0.0755856385048439,0.624269098276451,0.910402410826144,"stable",0.404956957282064
"7-Methylxanthine","Com_305_neg","7-Methylxanthine","C6 H6 N4 O2",166.04766,1.348,165.04038,"Invalid mass","No results","No match","Organoheterocyclic compounds","Imidazopyrimidines","Purines and purine derivatives","Xanthines",96337920.56,95522920.1299999,64749483.45,101020972.8,95804889.5100001,93392714.74,58232565.91,113343256.6,42609891.06,26.2461022382166,26.326436466804,-0.0803342285873825,0.793101882572611,0.928104353745456,"stable",0.229908555397344
"2-Furoic acid","Com_246_neg","2-Furoic acid","C5 H4 O3",112.01604,2.065,111.00876,"No results","No results","Full match","Organoheterocyclic compounds","Furans","Furoic acid and derivatives","Furoic acids",225557028.4,247427470.1,142390469.2,237206802.6,250700720.6,274398407.4,347609436.3,194438084.2,166513062.7,27.8288909366049,27.5722082612764,0.256682675328456,0.43082850723905,0.875194201775065,"stable",0.888642358487145
"Cytidine 5'-Monophosphate-N-Acetylneuraminic Acid","Com_62_neg","Cytidine 5'-Monophosphate-N-Acetylneuraminic Acid","C20 H31 N4 O16 P",614.14949,2.314,613.14221,"No results","No results","Full match","Nucleosides, nucleotides, and analogues","Pyrimidine nucleotides","Pyrimidine nucleotide sugars","Pyrimidine nucleotide sugars",743310107.600001,850944801.2,412893695.8,1064658223,662046226.999999,716578878.700001,550368127.2,948651635.899999,326815481.8,29.3079460241931,29.2516914817227,0.0562545424703949,0.895705687469573,0.935811419542431,"stable",0.135048935162791
"N-Acetyl-L-leucine","Com_231_neg","N-Acetyl-L-leucine","C8 H15 N O3",173.10529,5.387,172.09801,"No results","No results","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Leucine and derivatives",122335391.2,117842440.2,101037202.9,115423489.7,109538602.6,119732626.9,153783216.9,99225810.7800001,36590694.56,26.534995874737,26.756287307905,-0.221291433168084,0.49876832739873,0.890330211511663,"stable",0.504871476329604
"LPE 18:1","Com_214_neg","LPE 18:1","C23 H46 N O7 P",479.3014,9.668,478.29412,"No results","Full match","Full match","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphoethanolamines","1-acyl-sn-glycero-3-phosphoethanolamines",24147843.99,35709363.28,51483277.49,69342247.4400001,34408110.08,39686955.83,85807734.9999999,70394842.26,70185164.41,25.8023119465082,25.0775968961645,0.72471505034375,0.131474358014766,0.681768674760436,"stable",1.56873103667023
"Hypotaurine","Com_3674_neg","Hypotaurine","C2 H7 N O2 S",109.01999,1.304,263.03845,"No results","No results","Full match","Organic acids and derivatives","Sulfinic acids and derivatives","Sulfinic acids","Sulfinic acids",2463146.38,2999986.66,1209448.246,2922020.408,3050269.13,4015948.785,473286.5551,3436290.886,2327398.14,21.1119018535247,20.9848377320399,0.127064121484779,0.841856808620656,0.931984889921796,"stable",0.176063678881807
"Reduced nicotinamide adenine dinucleotide","Com_182_neg","Reduced nicotinamide adenine dinucleotide","C21 H29 N7 O14 P2",665.12563,2.153,664.11836,"No results","Full match","Full match","Nucleosides, nucleotides, and analogues","(5'->5')-dinucleotides","Not available","(5'->5')-dinucleotides",1234054037,1124604741,714069725.399999,668578289.299999,809215983.4,565332146.700001,1305573143,606380014.4,293368032.2,29.2614689782809,29.8930063410493,-0.63153736276848,0.141514957963372,0.69728072428716,"stable",1.25276139718496
"Allantoin","Com_355_neg","Allantoin","C4 H6 N4 O3",158.04409,1.359,315.08104,"No results","No results","Full match","Organoheterocyclic compounds","Azoles","Imidazoles","Imidazoles",114390065.6,93787792.25,79971579.17,78949653.8799999,103183609.2,82398996.26,77584166.23,126340678.6,53200665.25,26.323022576285,26.501755792337,-0.178733216051963,0.461381707054794,0.882487765541258,"stable",0.647849886965445
"Glu-Gln","Com_463_neg","Glu-Gln","C10 H17 N3 O6",275.11171,1.442,274.10443,"No results","Full match","No results","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Dipeptides",54267583.82,38309058.63,31413658.52,15791701.38,56682907.76,30345517.56,23230040.34,28830889.66,43557164.25,24.8585101402918,25.2632194055797,-0.404709265287913,0.29180924473476,0.826077255178317,"stable",0.919191657893797
"Adenylosuccinic acid","Com_306_neg","Adenylosuccinic acid","C14 H18 N5 O11 P",463.07457,4.671,462.06733,"No results","Full match","Full match","Nucleosides, nucleotides, and analogues","Purine nucleotides","Purine ribonucleotides","Purine ribonucleoside monophosphates",90790807.56,162749024.4,80980007.15,240512329.4,75289944.99,179376573.8,43451865.1,184281199.4,72778523.42,26.7288605992096,26.6617263290604,0.0671342701491895,0.898405217915124,0.935991948073429,"stable",0.109602820506726
"Tetradecanedioic acid","Com_6350_neg","Tetradecanedioic acid","C14 H26 O4",258.18323,7.131,257.17596,"Full match","No results","Full match","Lipids and lipid-like molecules","Fatty Acyls","Fatty acids and conjugates","Long-chain fatty acids",3016736.44,2841948.464,2638592.786,2451302.385,3349467.214,2655998.861,3044192.059,2729448.473,1599229.094,21.2946985838467,21.4314478257415,-0.136749241894773,0.428704390735471,0.874653333983831,"stable",0.599316552016769
"Porphobilinogen","Com_743_neg","Porphobilinogen","C10 H14 N2 O4",244.10601,4.942,289.10426,"Invalid mass","No results","No results","Organic nitrogen compounds","Organonitrogen compounds","Amines","Aralkylamines",1795492.451,1668871.325,1018214.905,1565927.887,1647964.996,746266.950199999,1858490.367,902353.2483,1152903.393,20.2476742595534,20.4680000359065,-0.220325776353132,0.54055493875856,0.897942811292888,"stable",0.608739883530196
"LPE 20:4","Com_704_neg","LPE 20:4","C25 H44 N O7 P",501.2858,9.085,500.27853,"No results","Full match","No results","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphoethanolamines","1-acyl-sn-glycero-3-phosphoethanolamines",13390543.32,17870568.69,28510277.11,28403319.33,13185868.03,17737851.28,20928202.3,30703039.25,13587621.86,24.2298310276629,24.1769240330391,0.0529069946238536,0.896657967378469,0.93587521849207,"stable",0.143193566570534
"10-Nitrolinoleate","Com_357_neg","10-Nitrolinoleate","C18 H31 N O4",325.22521,6.5,324.21793,"Full match","No results","No results","Lipids and lipid-like molecules","Fatty Acyls","Lineolic acids and derivatives","Lineolic acids and derivatives",73013748.09,52301625.86,43809941.0600001,55801736.0300001,54845021.63,88255381.5799999,122588706.4,70501633.1400001,22609334.65,25.8681107165869,25.7155907342114,0.15251998237547,0.715180501044033,0.920890759904065,"stable",0.297548587696297
"Thymidine 5'-diphosphate","Com_2655_neg","Thymidine 5'-diphosphate","C10 H16 N2 O11 P2",402.02309,4.544,401.01582,"Full match","No results","Full match","Nucleosides, nucleotides, and analogues","Pyrimidine nucleotides","Pyrimidine deoxyribonucleotides","Pyrimidine 2'-deoxyribonucleoside diphosphates",8592518.7,9163957.79199999,6168827.766,10604310.74,9961575.94000001,11209766.1,11963714.33,9194460.03199999,5008607.803,23.1508027649823,22.9062513249426,0.244551440039697,0.378742837806999,0.860426184154034,"stable",0.794539716854912
"PC 16:0_16:1","Com_90_neg","PC 16:0_16:1","C40 H78 N O8 P",777.55379,11.732,776.54651,"No results","Invalid mass","No results",NA,NA,NA,NA,478982100.999999,540213759.8,347443263.6,562801721.7,982973506.600001,991634783.6,681702136,633261655.299999,187014890.9,29.1478721807165,28.7388512730524,0.409020907664079,0.350152476506209,0.850730942852202,"stable",0.732489286896125
"LPE 22:6","Com_1142_neg","LPE 22:6","C27 H44 N O7 P",525.28567,9.034,524.2784,"No results","Full match","No results","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphoethanolamines","1-acyl-sn-glycero-3-phosphoethanolamines",8006893.70600001,11249605.2,16877587,16771358.88,9922108.16599999,12000729.44,13224157.54,17654072.88,11344555.37,23.653999533826,23.454929193044,0.199070340782033,0.600795023376817,0.907226456922699,"stable",0.689891208603104
"N-lactoyl-phenylalanine","Com_1588_neg","N-lactoyl-phenylalanine","C12 H15 N O4",237.10021,5.779,236.09294,"No results","No results","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Phenylalanine and derivatives",16028843.18,16234567.21,10907025.03,15466517.27,14202957.11,16562865.67,59246101.38,14252997.34,17309146.4,24.2089653570019,23.7551622919048,0.453803065097038,0.267020917609409,0.81295154007151,"stable",0.879857832773391
"4-Hydroxyisoleucine","Com_119_neg","4-Hydroxyisoleucine","C6 H13 N O3",147.08948,5.064,146.0822,"No results","No results","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Isoleucine and derivatives",249736707.4,267335912.7,178988206.4,161245840.8,142396839.6,131881274.6,262177851.8,191848274.9,73657529.89,27.1567306491081,27.7684001181526,-0.611669469044443,0.0876057069316923,0.598571261238159,"stable",1.37785341730584
"Asp-Glu","Com_1037_neg","Asp-Glu","C9 H14 N2 O7",262.07994,1.473,261.07267,"No results","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Dipeptides",22859281.35,29313060.31,18683006.63,20479368.76,24852131.74,19096483.63,23071750.31,26476072.47,10281433.72,24.2421143148402,24.4688467602107,-0.226732445370526,0.442905257475864,0.878182740644681,"stable",0.689757719677172
"S-Lactoylglutathione","Com_1828_neg","S-Lactoylglutathione","C13 H21 N3 O8 S",379.10505,3.377,378.09778,"Full match","No results","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Oligopeptides",5758202.946,3545798.977,11864525.5,6661434.866,3235772.901,3146923.615,8063571.472,4329768.385,12810338.44,22.4130404014294,22.5716725303812,-0.158632128951805,0.806272053543791,0.929195591890641,"stable",0.273613695302423
"LPC 18:0","Com_550_neg","LPC 18:0","C26 H54 N O7 P",569.36963,10.335,568.36235,"No results","Invalid mass","No results","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphocholines","Phosphocholines",7727357.60599999,12272838.01,15976405.9,12056766.74,6380879.32900001,7024942.40299999,36509997.16,10754828.83,12994017.61,23.497388700137,23.4533162849676,0.0440724151693992,0.929308946743934,0.937988510503109,"stable",0.0776607822786589
"LPE 16:1","Com_563_neg","LPE 16:1","C21 H42 N O7 P",451.27005,8.863,450.26278,"No results","Full match","No results","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphoethanolamines","1-acyl-sn-glycero-3-phosphoethanolamines",18803544.3,18872309.35,22903059.88,45472869.12,28187499.13,38303141.04,39480750.24,61727023.28,45805550.75,25.3235130449251,24.2611019815586,1.06241106336654,0.000575508837615904,0.0534645836436713,"up",2.31809508564295
"L-serine","Com_739_neg","L-serine","C3 H7 N O3",105.04256,1.246,140.01193,"No results","No results","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Serine and derivatives",25845714.83,16685470.71,9731429.813,31257913.55,19736348.08,16612543.86,7018779.16600001,14452848.43,9706637.822,23.809336496636,23.9432437268619,-0.133907230225891,0.805597959121045,0.92914054356874,"stable",0.25561396295322
"Guanosine 5'-diphosphate (GDP)","Com_900_neg","Guanosine 5'-diphosphate (GDP)","C10 H15 N5 O11 P2",443.02429,1.868,442.01701,"Full match","No results","Full match","Nucleosides, nucleotides, and analogues","Purine nucleotides","Purine ribonucleotides","Purine ribonucleoside diphosphates",103996568.4,92573393.74,78592023.87,172194755.7,141689617.2,150905279.8,95199091.7500001,137938951.4,72596383.48,26.8773310484127,26.4413115092759,0.436019539136822,0.0938868460068632,0.613563607050064,"stable",1.3162891953115
"Adenosine triphosphate (ATP)","Com_91_neg","Adenosine triphosphate (ATP)","C10 H16 N5 O13 P3",506.99578,1.54,505.9885,"Full match","No results","Full match","Nucleosides, nucleotides, and analogues","Purine nucleotides","Purine ribonucleotides","Purine ribonucleoside triphosphates",1254207682,1276187275,918289778.299999,1272921554,1016607753,916808773.399999,1259273070,828790493.400001,441820932.399999,29.7523201215167,30.0825654229701,-0.33024530145336,0.271763295820054,0.815613760839132,"stable",0.895574622056282
"LPE 20:5","Com_1552_neg","LPE 20:5","C25 H42 N O7 P",499.27,8.633,498.26272,"No results","Full match","No results","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphoethanolamines","1-acyl-sn-glycero-3-phosphoethanolamines",11652906.88,10261998.77,10133292.32,13402659.14,8965386.60399999,9677515.69900001,8938632.133,16174893.68,3707142.326,23.1398178697713,23.345864873983,-0.20604700421169,0.528271006838375,0.895816908114699,"stable",0.466130913853727
