"","Compound_ID","Name","Formula","Molecular.Weight","RT.[min]","m/z","mzCloud_Results","mzVault_Results","MassList_Results","Class_I","Class_II","Class_III","Class_IV","OCI_M2_WT_1","OCI_M2_WT_2","OCI_M2_WT_3","OCI_M2_2w_1","OCI_M2_2w_2","OCI_M2_2w_3","OCI_M2_6w_1","OCI_M2_6w_2","OCI_M2_6w_3","meanA","meanB","logFC","pvalue","qvalue","change","VIP"
"Guanosine 5'-diphosphate (GDP)","Com_900_neg","Guanosine 5'-diphosphate (GDP)","C10 H15 N5 O11 P2",443.02429,1.868,442.01701,"Full match","No results","Full match","Nucleosides, nucleotides, and analogues","Purine nucleotides","Purine ribonucleotides","Purine ribonucleoside diphosphates",110270328.6,89062830.6199999,98387435.6100001,105385279.4,119142319.4,100783104.9,98665879,94960493.8500001,113756445.1,26.6473554100661,26.5589200957766,0.0884353142895442,0.44593433174775,0.436133836671186,"stable",0.716831407607666
"Adenosine triphosphate (ATP)","Com_91_neg","Adenosine triphosphate (ATP)","C10 H16 N5 O13 P3",506.99578,1.54,505.9885,"Full match","No results","Full match","Nucleosides, nucleotides, and analogues","Purine nucleotides","Purine ribonucleotides","Purine ribonucleoside triphosphates",1267052673,1564481663,1473807393,1251968788,1583899357,1543425346,1107278964,1291820649,1655556651,30.3736121651054,30.4129226024001,-0.0393104372947093,0.773269668510635,0.554775412069741,"stable",0.213962091424856
"LPE 20:5","Com_1552_neg","LPE 20:5","C25 H42 N O7 P",499.27,8.633,498.26272,"No results","Full match","No results","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphoethanolamines","1-acyl-sn-glycero-3-phosphoethanolamines",5942430.485,7614289.575,3652291.944,10543506.48,5748920.252,8331229.514,7188624.44699999,8793659.09699999,13978653.63,23.0594745911254,22.3877567859274,0.671717805198,0.147480008057302,0.281981200082329,"stable",1.3083115172563
"Capryloylglycine","Com_140_neg","Capryloylglycine","C10 H19 N O3",201.13656,5.805,200.12928,"Full match","No results","No results","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","N-acyl-alpha amino acids",196198203.9,170430024.4,182944106.9,168325053.4,126100310.3,178879809.7,114118693.7,84183742.6299999,145212384.5,26.9762790089975,27.4463895235353,-0.470110514537776,0.0347402447304041,0.165294499795434,"down",1.27766606259222
"LPE 22:5","Com_1137_neg","LPE 22:5","C27 H46 N O7 P",527.30144,9.125,526.29416,"No results","Full match","No results","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphoethanolamines","1-acyl-sn-glycero-3-phosphoethanolamines",9393128.89400001,7301064.093,6007885.87,11722069.05,9491037.063,17944673.84,10769354.88,7851901.39899999,9352516.13899999,23.3633121358375,22.8270918885514,0.536220247286142,0.083571356638843,0.22208176272533,"stable",1.2869202328747
"Biopterin","Com_20_neg","Biopterin","C9 H11 N5 O3",237.08575,6.245,236.07847,"No results","No results","Full match","Organoheterocyclic compounds","Pteridines and derivatives","Pterins and derivatives","Biopterins and derivatives",21256919.2,51218804.17,40356743.71,30037183.41,17813140.52,41616903.6199999,10978382.16,335169299.8,23716463.11,25.0742022479568,25.0726352846796,0.00156696327720596,0.998488933088853,0.616708281419052,"stable",0.00121113198174176
"Gly-Phe","Com_410_neg","Gly-Phe","C11 H14 N2 O3",222.10046,5.246,221.0932,"No results","No results","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Peptides",23955361.76,36925078,38115353.77,27098318.41,28364441.32,26155043.17,22199010.78,14539063.56,24347912.67,24.4707639581023,24.945270609391,-0.474506651288689,0.144289671484175,0.279619416171064,"stable",1.24528785616024
"2-(Formylamino)Benzoic Acid","Com_2335_neg","2-(Formylamino)Benzoic Acid","C8 H7 N O3",165.04267,5.791,164.0354,"No results","No results","Full match",NA,NA,NA,NA,11953898.84,11518700.88,11929037.56,10833066.56,8321717.04700001,10167537.22,9342508.70299999,8193826.71099999,10130073.03,23.1714134762334,23.4921422986271,-0.320728822393711,0.00431758478991437,0.0660498849641042,"down",1.67286806111511
"ADP-ribose","Com_742_neg","ADP-ribose","C15 H23 N5 O14 P2",559.07205,4.46,558.06484,"No results","No results","Full match","Nucleosides, nucleotides, and analogues","Purine nucleotides","Purine ribonucleotides","Purine ribonucleoside diphosphates",9218719.17400001,8720411.888,9587770.97299999,8233467.726,9586591.65899999,10731506.22,7395406.933,3000599.115,4434928.781,22.6560835522855,23.1282879180413,-0.472204365755797,0.166203991064024,0.295198666641456,"stable",0.835454147725443
"2-Isopropylmalate","Com_5750_neg","2-Isopropylmalate","C7 H12 O5",176.06857,5.424,175.06129,"No results","No results","Full match","Lipids and lipid-like molecules","Fatty Acyls","Fatty acids and conjugates","Hydroxy fatty acids",4436899.23,4442505.021,5149930.507,7094205.656,7137101.258,5324669.153,6584518.20900001,3732241.14,4388931.079,22.4028453993239,22.153394622284,0.249450777039907,0.199465858907777,0.317770403937728,"stable",0.795915973587039
"LPC O-16:1","Com_4759_neg","LPC O-16:1","C24 H50 N O6 P",525.34289,10.042,524.33561,"No results","Invalid mass","No results",NA,NA,NA,NA,1687911.739,8419105.28499999,4485740.015,6742237.25999999,7671340.49200001,6567775.962,2702862.767,8943485.12000001,9573464.751,22.641981494975,21.9296527019119,0.712328793063051,0.407272947251425,0.421069643718297,"stable",0.894607042656442
"L-beta-Imidazolelactic acid","Com_1859_neg","L-beta-Imidazolelactic acid","C6 H8 N2 O3",156.05343,1.454,155.04615,"No results","No results","Full match","Organoheterocyclic compounds","Azoles","Imidazoles","Imidazolyl carboxylic acids and derivatives",9616448.22999999,8299872.408,6904879.226,9855509.218,10648907.66,10693343,8493533.904,14667158.23,12996012.9,23.3970826670066,22.96697172983,0.430110937176607,0.0643315413104191,0.202721423398418,"stable",1.40010378153419
"Spiculisporic Acid","Com_4460_neg","Spiculisporic Acid","C17 H28 O6",328.18888,6.454,327.18151,"No results","No results","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Tricarboxylic acids and derivatives","Tricarboxylic acids and derivatives",1624605.835,1361204.831,1833254.704,2084608.626,1339998.513,1697232.726,2921529.939,1316700.093,1161188.815,20.6656428667951,20.6046956189968,0.0609472477983246,0.806057846471153,0.565007983828686,"stable",0.160559703357101
"N-Carbamyl-L-glutamicacid","Com_2078_neg","N-Carbamyl-L-glutamicacid","C6 H10 N2 O5",190.05891,1.484,171.04106,"No results","No results","Full match","Benzenoids","Benzene and substituted derivatives","Diphenylmethanes","Diphenylmethanes",2549698.776,4257505.362,2105280.58,4204341.238,2443769.866,2720695.952,448472.786900001,1471034.046,1615889.299,20.7477711178237,21.4363511303179,-0.688580012494167,0.247438271476778,0.346498559708058,"stable",0.760401271390583
"LPE 18:2","Com_2409_neg","LPE 18:2","C23 H44 N O7 P",477.28556,9.153,476.27829,"No results","Full match","Full match","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphoethanolamines","1-acyl-sn-glycero-3-phosphoethanolamines",3784522.066,4064714.526,2879137.344,4649408.47299999,3060372.381,5076785.528,4231267.023,4560679.498,4184113.681,22.0165569480071,21.7545358235446,0.262021124462507,0.227123629129531,0.334343206126804,"stable",1.04056552994316
"Inosine","Com_1212_neg","Inosine","C10 H12 N4 O5",268.08069,3.57,267.07342,"No results","Full match","Full match","Nucleosides, nucleotides, and analogues","Purine nucleosides","Not available","Purine nucleosides",8455672.563,9411151.219,5772071.314,5847903.84999999,6175657.27500001,6082932.202,7257072.70999999,9745300.84900001,5862759.42700001,22.6773941548794,22.8793618515969,-0.201967696717507,0.464242922733214,0.442713943267029,"stable",0.703582528503017
"LPC O-15:1","Com_7188_neg","LPC O-15:1","C23 H48 N O6 P",511.32724,9.475,510.31997,"No results","Invalid mass","No results",NA,NA,NA,NA,1248291.608,2835226.176,1032462.813,2081549.102,3102656.139,2029979.381,1203131.584,2878120.876,3200234.77,21.1286895434035,20.5547381172855,0.573951426118079,0.332491803249185,0.389995455386179,"stable",0.965730634351994
"LPE 18:3","Com_3107_neg","LPE 18:3","C23 H42 N O7 P",475.27019,8.777,474.26291,"No results","Full match","No results","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphoethanolamines","1-acyl-sn-glycero-3-phosphoethanolamines",793083.2551,997259.3742,421680.8267,839906.015099999,638494.328099999,853021.486900001,504177.9069,797859.4152,1160278.383,19.5602988634712,19.4035046504935,0.156794212977719,0.727129942426757,0.539532780237162,"stable",0.366441588465846
"13-HPODE","Com_8050_neg","13-HPODE","C18 H32 O4",312.23022,6.95,311.22294,"No results","No results","Full match","Lipids and lipid-like molecules","Fatty Acyls","Lineolic acids and derivatives","Lineolic acids and derivatives",5349953.338,6169030.33899999,5611510.22599999,5137439.23900001,4336616.055,5485471.798,6562873.24500001,3773721.006,4158844.416,22.2015240536516,22.4425549511663,-0.241030897514669,0.1181350219218,0.257542622051632,"stable",0.973998810978403
"Dibutyl sebacate","Com_2805_neg","Dibutyl sebacate","C18 H34 O4",314.24517,8.274,313.23774,"No results","No results","Full match","Lipids and lipid-like molecules","Fatty Acyls","Fatty acid esters","Fatty acid esters",9793348.033,8437894.62000001,10654661.91,10093018.86,7054080.457,9850032.96500001,10158823.32,7086333.24599999,7962332.328,23.0343626083254,23.1922679477126,-0.157905339387252,0.31150535389469,0.380630443695546,"stable",0.736955173150997
"Monobutyl phthalate","Com_128_neg","Monobutyl phthalate","C12 H14 O4",222.08925,6.412,221.08198,"Full match","No results","Full match","Benzenoids","Benzene and substituted derivatives","Benzoic acids and derivatives","Benzoic acid esters",203291068.2,215728901.4,231967345.7,178153286.6,140335122,199898532.8,189939375.5,173365907.2,159806499.2,27.3615828287492,27.6909874353658,-0.329404606616603,0.00968940977163577,0.094204840132434,"down",1.58750193559337
"LPE 14:0","Com_2114_neg","LPE 14:0","C19 H40 N O7 P",425.25445,8.631,424.24717,"No results","Full match","Full match","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphoethanolamines","1-acyl-sn-glycero-3-phosphoethanolamines",923439.2185,1408468.221,380408.2631,1517750.356,1403752.133,1294784.174,708251.9695,1515295.829,1728922.445,20.3241921706762,19.5931807067674,0.731011463908764,0.318351408303956,0.383770197315136,"stable",1.12156571720894
"LPE 20:0","Com_4524_neg","LPE 20:0","C25 H52 N O7 P",509.34808,11.005,508.3408,"No results","Full match","Full match","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphoethanolamines","1-acyl-sn-glycero-3-phosphoethanolamines",2390962.087,2821310.631,1735024.524,3773083.51,5400321.88899999,4517557.993,5650197.575,4755452.815,4332547.746,22.1628072762667,21.1145395114812,1.04826776478549,0.0222573905576838,0.137015612963481,"up",1.95820605641715
"Lipoic acid","Com_800_neg","Lipoic acid","C8 H14 O2 S2",206.04255,3.299,205.03527,"Full match","No results","Full match","Organoheterocyclic compounds","Dithiolanes","Lipoic acids and derivatives","Lipoic acids and derivatives",26217016.48,32225737.84,40385643.53,30638534.91,37080005.99,33297927.21,33117443.09,40288922.62,60883157.9999999,25.1844031427065,24.9510164756103,0.233386667096244,0.363414096690042,0.402502950633915,"stable",0.733802769438772
"Lysops 22:6","Com_2698_neg","Lysops 22:6","C28 H44 N O9 P",569.27328,8.959,568.266,"No results","No results","Full match","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphoethanolamines","2-acyl-sn-glycero-3-phosphoethanolamines",16017973.98,2002336.572,1476007.165,12617716.05,8329252.58199999,10484632.19,2573205.98,9499835.898,3014295.438,22.6497453422976,21.7865699018016,0.863175440495922,0.516591160913024,0.45983728052884,"stable",0.723006546928655
"PS 18:1_18:1","Com_6211_neg","PS 18:1_18:1","C42 H78 N O10 P",787.53847,9.91,786.5312,"No results","Full match","No results",NA,NA,NA,NA,2972165.512,5629427.57099999,2349591.611,7140316.925,7766828.787,58565779.54,51230929.4099999,30983737.17,45888715.15,24.5678601912454,21.6972061382882,2.87065405295721,0.00390555035712722,0.0645181426604797,"up",1.69316571099212
"Arachidonic acid","Com_2752_neg","Arachidonic acid","C20 H32 O2",304.24004,10.461,303.23277,"Full match","No results","Full match","Lipids and lipid-like molecules","Fatty Acyls","Fatty acids and conjugates","Long-chain fatty acids",13374716.44,9290530.304,15253217.35,18474542.12,6261800.179,16784995.04,14160598.88,10645228.62,8083848.378,23.4605905772509,23.5609815773941,-0.100391000143194,0.770623993482264,0.553928717074349,"stable",0.207467606795261
"5-Methoxyindole-3-Carbaldehyde","Com_7836_neg","5-Methoxyindole-3-Carbaldehyde","C10 H9 N O2",175.06323,4.895,174.05596,"No results","No results","Full match","Organoheterocyclic compounds","Indoles and derivatives","Indoles","Indoles",6110149.813,13630950.47,6259512.834,7855534.16600001,8368485.52599999,7532850.82299999,11546039.91,6248571.88700001,7691305.833,22.9428940972892,22.9402593662452,0.00263473104405421,0.995231761232068,0.615935634258926,"stable",0.00709627693272331
"Docosahexaenoic Acid","Com_1755_neg","Docosahexaenoic Acid","C22 H32 O2",328.24015,9.913,327.23288,"Full match","No results","No results","Lipids and lipid-like molecules","Fatty Acyls","Fatty acids and conjugates","Very long-chain fatty acids",2463877.921,2626264.848,3250694.034,5987491.746,1783709.507,2575779.537,2254963.098,4620932.43,3533390.052,21.5955989682505,21.3964655561616,0.199133412088884,0.523444091237956,0.461911588829387,"stable",0.397440164270854
"Cholic acid","Com_14287_neg","Cholic acid","C24 H40 O5",408.2879,7.489,407.28062,"Full match","No results","Full match","Lipids and lipid-like molecules","Steroids and steroid derivatives","Bile acids, alcohols and derivatives","Trihydroxy bile acids, alcohols and derivatives",397756.8781,505526.3464,437114.3662,467262.2285,260495.6657,492668.362,895461.968000001,368927.0648,370266.1418,18.7497469807634,18.7622017928975,-0.0124548121340204,0.963780441459223,0.608311495299059,"stable",0.0280477104879094
"glutathione disulfide","Com_15510_neg","glutathione disulfide","C20 H32 N6 O12 S2",612.15299,5.413,611.14571,"No results","No results","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Peptides",179474.8841,229201.2321,241506.6317,233315.321,232595.7304,179609.8777,182930.1415,223070.443,232950.0453,17.6986046648988,17.7137936647797,-0.0151889998809551,0.925757833187079,0.59868029751269,"stable",0.0896990419448518
"Deoxycytidine","Com_2023_neg","Deoxycytidine","C9 H13 N3 O4",227.09163,1.445,226.08484,"No results","No results","Full match","Nucleosides, nucleotides, and analogues","Pyrimidine nucleotides","Pyrimidine deoxyribonucleotides","Pyrimidine 2'-deoxyribonucleoside monophosphates",11086045.42,10072921.08,12492738.66,13196133.79,11116453.41,10638057.79,9530501.05299999,8900747.355,8208845.70400001,23.2734833809993,23.4136022371904,-0.140118856191091,0.337270992940795,0.392024163022658,"stable",0.685522845171683
"CDP","Com_3352_neg","CDP","C9 H15 N3 O11 P2",403.01848,1.57,402.0112,"No results","No results","Full match","Nucleosides, nucleotides, and analogues","Pyrimidine nucleotides","Pyrimidine ribonucleotides","Pyrimidine ribonucleoside diphosphates",27396587.64,26624827.79,32223128.85,54059701.67,71516088.9199999,29257087.76,25029532.46,24922106.63,25110041.9,25.0519848913563,24.7717849943657,0.280199896990595,0.365041603859351,0.403122731094777,"stable",0.550062629057996
"Kinetin","Com_1071_neg","Kinetin","C10 H9 N5 O",215.08094,5.25,429.15475,"No results","No results","Full match","Organoheterocyclic compounds","Imidazopyrimidines","Purines and purine derivatives","6-alkylaminopurines",27539794.18,30313653.95,30665070.65,34474609.07,39669213.79,26729136.72,30556233.14,29965891.5,38300877.08,24.974185442474,24.8128572690831,0.161328173390903,0.161384821289445,0.291578054013005,"stable",0.88427429419493
"3-Indoleacrylic acid","Com_7995_neg","3-Indoleacrylic acid","C11 H9 N O2",187.06346,5.734,186.05612,"No results","No results","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","N-acyl-alpha amino acids",2874131.6,1910149.988,1446457.19,368538.7545,5445869.06,651431.9216,3061293.381,1621400.651,1676562.245,20.5055060436088,20.9280137932275,-0.422507749618717,0.535846556662403,0.465940486063402,"stable",0.390333863591762
"Capric acid","Com_6088_neg","Capric acid","C10 H20 O2",172.14613,6.271,209.09473,"No results","No results","Full match","Lipids and lipid-like molecules","Fatty Acyls","Fatty acids and conjugates","Medium-chain fatty acids",3060921.272,4245407.51,4369288.743,3183447.936,2462935.975,5250035.081,6468828.378,3412728.216,3771929.614,21.8887400818785,21.8739910460302,0.0147490358483253,0.957128319753106,0.606660004304537,"stable",0.0375306711753931
"Prostaglandin E2","Com_11197_neg","Prostaglandin E2","C20 H32 O5",352.22525,7.322,351.21797,"No results","No results","Full match","Lipids and lipid-like molecules","Fatty Acyls","Eicosanoids","Prostaglandins and related compounds",999149.6522,807604.321500001,338281.6213,532224.756,874519.956500001,809469.474199999,1772822.939,983282.0801,339253.6618,19.5705487891003,19.3071652108513,0.26338357824892,0.674006380537018,0.520637331823069,"stable",0.367646469778125
