"","Compound_ID","Name","Formula","Molecular.Weight","RT.[min]","m/z","mzCloud_Results","mzVault_Results","MassList_Results","Class_I","Class_II","Class_III","Class_IV","MV4_11_WT_1","MV4_11_WT_2","MV4_11_WT_3","MV4_11_6w_1","MV4_11_6w_2","MV4_11_6w_3","meanA","meanB","logFC","pvalue","qvalue","change","VIP"
"Adenylosuccinic acid","Com_306_neg","Adenylosuccinic acid","C14 H18 N5 O11 P",463.07457,4.671,462.06733,"No results","Full match","Full match","Nucleosides, nucleotides, and analogues","Purine nucleotides","Purine ribonucleotides","Purine ribonucleoside monophosphates",90790807.56,162749024.4,80980007.15,43451865.1,184281199.4,72778523.42,26.3157526217404,26.6617263290604,-0.34597370732002,0.449773345607932,0.480200379557254,"stable",0.525407428641002
"Tetradecanedioic acid","Com_6350_neg","Tetradecanedioic acid","C14 H26 O4",258.18323,7.131,257.17596,"Full match","No results","Full match","Lipids and lipid-like molecules","Fatty Acyls","Fatty acids and conjugates","Long-chain fatty acids",3016736.44,2841948.464,2638592.786,3044192.059,2729448.473,1599229.094,21.1755837251112,21.4314478257415,-0.255864100630248,0.388610388960306,0.472992821089184,"stable",0.860260166087629
"Porphobilinogen","Com_743_neg","Porphobilinogen","C10 H14 N2 O4",244.10601,4.942,289.10426,"Invalid mass","No results","No results","Organic nitrogen compounds","Organonitrogen compounds","Amines","Aralkylamines",1795492.451,1668871.325,1018214.905,1858490.367,902353.2483,1152903.393,20.2486242579895,20.4680000359065,-0.219375777917037,0.580791890375819,0.50311773617327,"stable",0.567920704966578
"LPE 20:4","Com_704_neg","LPE 20:4","C25 H44 N O7 P",501.2858,9.085,500.27853,"No results","Full match","No results","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphoethanolamines","1-acyl-sn-glycero-3-phosphoethanolamines",13390543.32,17870568.69,28510277.11,20928202.3,30703039.25,13587621.86,24.2955376104455,24.1769240330391,0.118613577406443,0.86046571576864,0.586846803977578,"stable",0.271425839031895
"10-Nitrolinoleate","Com_357_neg","10-Nitrolinoleate","C18 H31 N O4",325.22521,6.5,324.21793,"Full match","No results","No results","Lipids and lipid-like molecules","Fatty Acyls","Lineolic acids and derivatives","Lineolic acids and derivatives",73013748.09,52301625.86,43809941.0600001,122588706.4,70501633.1400001,22609334.65,25.7902731257556,25.7155907342114,0.0746823915442185,0.899457763666833,0.597549175894714,"stable",0.106743456497419
"Thymidine 5'-diphosphate","Com_2655_neg","Thymidine 5'-diphosphate","C10 H16 N2 O11 P2",402.02309,4.544,401.01582,"Full match","No results","Full match","Nucleosides, nucleotides, and analogues","Pyrimidine nucleotides","Pyrimidine deoxyribonucleotides","Pyrimidine 2'-deoxyribonucleoside diphosphates",8592518.7,9163957.79199999,6168827.766,11963714.33,9194460.03199999,5008607.803,22.9668245558946,22.9062513249426,0.0605732309519453,0.814065783041726,0.57334520660824,"stable",0.157361404957398
"PC 16:0_16:1","Com_90_neg","PC 16:0_16:1","C40 H78 N O8 P",777.55379,11.732,776.54651,"No results","Invalid mass","No results",NA,NA,NA,NA,478982100.999999,540213759.8,347443263.6,681702136,633261655.299999,187014890.9,28.6871235513623,28.7388512730524,-0.0517277216901348,0.914974836400606,0.601655577429817,"stable",0.0874354083521462
"LPE 22:6","Com_1142_neg","LPE 22:6","C27 H44 N O7 P",525.28567,9.034,524.2784,"No results","Full match","No results","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphoethanolamines","1-acyl-sn-glycero-3-phosphoethanolamines",8006893.70600001,11249605.2,16877587,13224157.54,17654072.88,11344555.37,23.7218889780675,23.454929193044,0.266959785023495,0.590517362429766,0.504559231009062,"stable",0.740769547317511
"N-lactoyl-phenylalanine","Com_1588_neg","N-lactoyl-phenylalanine","C12 H15 N O4",237.10021,5.779,236.09294,"No results","No results","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Phenylalanine and derivatives",16028843.18,16234567.21,10907025.03,59246101.38,14252997.34,17309146.4,24.5433367127514,23.7551622919048,0.78817442084658,0.320503893543236,0.465290084074184,"stable",1.08724595974769
"4-Hydroxyisoleucine","Com_119_neg","4-Hydroxyisoleucine","C6 H13 N O3",147.08948,5.064,146.0822,"No results","No results","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Isoleucine and derivatives",249736707.4,267335912.7,178988206.4,262177851.8,191848274.9,73657529.89,27.205230268973,27.7684001181526,-0.563169849179555,0.287624823772036,0.460399682010971,"stable",0.938039550202272
"Asp-Glu","Com_1037_neg","Asp-Glu","C9 H14 N2 O7",262.07994,1.473,261.07267,"No results","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Dipeptides",22859281.35,29313060.31,18683006.63,23071750.31,26476072.47,10281433.72,24.1371160108973,24.4688467602107,-0.33173074931339,0.342751140056515,0.468113434985796,"stable",0.720482417296076
"S-Lactoylglutathione","Com_1828_neg","S-Lactoylglutathione","C13 H21 N3 O8 S",379.10505,3.377,378.09778,"Full match","No results","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Oligopeptides",5758202.946,3545798.977,11864525.5,8063571.472,4329768.385,12810338.44,22.8665504055913,22.5716725303812,0.294877875210055,0.112647142870216,0.397188526844126,"stable",0.454942673791962
"LPC 18:0","Com_550_neg","LPC 18:0","C26 H54 N O7 P",569.36963,10.335,568.36235,"No results","Invalid mass","No results","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphocholines","Phosphocholines",7727357.60599999,12272838.01,15976405.9,36509997.16,10754828.83,12994017.61,24.0372045594021,23.4533162849676,0.583888274434493,0.554090591539768,0.498946845479638,"stable",0.904837061313773
"LPE 16:1","Com_563_neg","LPE 16:1","C21 H42 N O7 P",451.27005,8.863,450.26278,"No results","Full match","No results","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphoethanolamines","1-acyl-sn-glycero-3-phosphoethanolamines",18803544.3,18872309.35,22903059.88,39480750.24,61727023.28,45805550.75,25.5210213513722,24.2611019815586,1.25991936981362,0.0306412848956174,0.32548699029331,"up",2.03407853709599
"L-serine","Com_739_neg","L-serine","C3 H7 N O3",105.04256,1.246,140.01193,"No results","No results","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Serine and derivatives",25845714.83,16685470.71,9731429.813,7018779.16600001,14452848.43,9706637.822,23.2460598104225,23.9432437268619,-0.69718391643941,0.36176279989988,0.470273889366895,"stable",1.21595395624373
"Guanosine 5'-diphosphate (GDP)","Com_900_neg","Guanosine 5'-diphosphate (GDP)","C10 H15 N5 O11 P2",443.02429,1.868,442.01701,"Full match","No results","Full match","Nucleosides, nucleotides, and analogues","Purine nucleotides","Purine ribonucleotides","Purine ribonucleoside diphosphates",103996568.4,92573393.74,78592023.87,95199091.7500001,137938951.4,72596383.48,26.5524311604273,26.4413115092759,0.111119651151423,0.679406293250257,0.529647394440785,"stable",0.399921923638066
"Adenosine triphosphate (ATP)","Com_91_neg","Adenosine triphosphate (ATP)","C10 H16 N5 O13 P3",506.99578,1.54,505.9885,"Full match","No results","Full match","Nucleosides, nucleotides, and analogues","Purine nucleotides","Purine ribonucleotides","Purine ribonucleoside triphosphates",1254207682,1276187275,918289778.299999,1259273070,828790493.400001,441820932.399999,29.5250875867261,30.0825654229701,-0.557477836243955,0.212111111494621,0.444197515794996,"stable",1.10244138280482
"LPE 20:5","Com_1552_neg","LPE 20:5","C25 H42 N O7 P",499.27,8.633,498.26272,"No results","Full match","No results","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphoethanolamines","1-acyl-sn-glycero-3-phosphoethanolamines",11652906.88,10261998.77,10133292.32,8938632.133,16174893.68,3707142.326,22.953583870454,23.345864873983,-0.392281003529003,0.58510445596192,0.503761831996436,"stable",0.646485083354735
"Capryloylglycine","Com_140_neg","Capryloylglycine","C10 H19 N O3",201.13656,5.805,200.12928,"Full match","No results","No results","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","N-acyl-alpha amino acids",172061176.4,145888748,122634945.4,235484466.8,135431508.6,47666997.08,26.7768440828887,27.1161448802628,-0.33930079737403,0.592028987777204,0.504779755302547,"stable",0.512154412540611
"LPE 22:5","Com_1137_neg","LPE 22:5","C27 H46 N O7 P",527.30144,9.125,526.29416,"No results","Full match","No results","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphoethanolamines","1-acyl-sn-glycero-3-phosphoethanolamines",9122460.28700001,9781657.41300001,15120705.52,21024004.62,13615536.54,3822711.919,23.296816570926,23.3975537205841,-0.100737149658148,0.926361516784564,0.604616008872696,"stable",0.139645906827404
"Biopterin","Com_20_neg","Biopterin","C9 H11 N5 O3",237.08575,6.245,236.07847,"No results","No results","Full match","Organoheterocyclic compounds","Pteridines and derivatives","Pterins and derivatives","Biopterins and derivatives",24226302.42,12933984.26,382194029.1,40371058.99,24682572.16,1382497839,26.7294791946536,25.554821438296,1.17465775635761,0.0764061344227423,0.368000190374148,"stable",0.517017034342411
"Gly-Phe","Com_410_neg","Gly-Phe","C11 H14 N2 O3",222.10046,5.246,221.0932,"No results","No results","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Peptides",5191759.77899999,11169084.41,27100952.18,5296889.12099999,9521667.63700001,33528837.47,23.5061319484314,23.4708799985727,0.0352519498586581,0.841353873508508,0.581390445929643,"stable",0.036200499396202
"2-(Formylamino)Benzoic Acid","Com_2335_neg","2-(Formylamino)Benzoic Acid","C8 H7 N O3",165.04267,5.791,164.0354,"No results","No results","Full match",NA,NA,NA,NA,12100284.15,10927184.62,9268903.29200001,14801610.72,8530791.34999999,5512798.588,23.0792841510234,23.3513077371843,-0.272023586160941,0.464456014210149,0.482623895782914,"stable",0.650961824938554
"ADP-ribose","Com_742_neg","ADP-ribose","C15 H23 N5 O14 P2",559.07205,4.46,558.06484,"No results","No results","Full match","Nucleosides, nucleotides, and analogues","Purine nucleotides","Purine ribonucleotides","Purine ribonucleoside diphosphates",5854048.23,7022405.205,4273137.321,8711769.592,4436950.474,1642064.676,21.9275836358606,22.4171337548087,-0.489550118948035,0.481224916997377,0.485685804093375,"stable",0.682274626961585
"2-Isopropylmalate","Com_5750_neg","2-Isopropylmalate","C7 H12 O5",176.06857,5.424,175.06129,"No results","No results","Full match","Lipids and lipid-like molecules","Fatty Acyls","Fatty acids and conjugates","Hydroxy fatty acids",5158302.695,4708264.235,4685989.912,8246019.8,5277895.651,3028639.873,22.2790121674616,22.2083837599414,0.0706284075202461,0.869720199341714,0.589438129513951,"stable",0.179616158312411
"LPC O-16:1","Com_4759_neg","LPC O-16:1","C24 H50 N O6 P",525.34289,10.042,524.33561,"No results","Invalid mass","No results",NA,NA,NA,NA,11271564.76,16795300.57,22850401.44,48733054.6399999,3444297.681,3007606.992,22.9247867848539,23.9578183092299,-1.03303152437606,0.581107222757553,0.503165099884406,"stable",0.771297898871302
"L-beta-Imidazolelactic acid","Com_1859_neg","L-beta-Imidazolelactic acid","C6 H8 N2 O3",156.05343,1.454,155.04615,"No results","No results","Full match","Organoheterocyclic compounds","Azoles","Imidazoles","Imidazolyl carboxylic acids and derivatives",1952770.855,2393587.51,1577622.167,5757174.44699999,2809256.326,1127995.904,21.3280055771768,20.8923848855205,0.435620691656265,0.542566375983744,0.497043139308603,"stable",0.635639689377311
"Spiculisporic Acid","Com_4460_neg","Spiculisporic Acid","C17 H28 O6",328.18888,6.454,327.18151,"No results","No results","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Tricarboxylic acids and derivatives","Tricarboxylic acids and derivatives",1211062.159,1197374.03,1051225.521,3783503.812,1389230.364,873673.412799999,20.664626816089,20.1343082378814,0.530318578207602,0.452837603046292,0.48056068265944,"stable",0.83531192645617
"N-Carbamyl-L-glutamicacid","Com_2078_neg","N-Carbamyl-L-glutamicacid","C6 H10 N2 O5",190.05891,1.484,171.04106,"No results","No results","Full match","Benzenoids","Benzene and substituted derivatives","Diphenylmethanes","Diphenylmethanes",44761666.12,23636940.78,3856089.637,9132332.50000001,44281172.8500001,655462.487,22.6149652485368,23.9296691831895,-1.31470393465269,0.358870984439354,0.469958791926408,"stable",0.65080133277159
"LPE 18:2","Com_2409_neg","LPE 18:2","C23 H44 N O7 P",477.28556,9.153,476.27829,"No results","Full match","Full match","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphoethanolamines","1-acyl-sn-glycero-3-phosphoethanolamines",4411888.976,5191583.991,4289661.237,12793203.06,16403308.12,5735720.16999999,23.3426336188298,22.1377135656149,1.20492005321494,0.0925654227027914,0.381126603820208,"stable",1.69809519846188
"Inosine","Com_1212_neg","Inosine","C10 H12 N4 O5",268.08069,3.57,267.07342,"No results","Full match","Full match","Nucleosides, nucleotides, and analogues","Purine nucleosides","Not available","Purine nucleosides",17084430.25,17962666.39,10522010.21,9005777.94,22182202.77,8841860.781,23.5270791211924,23.81719466811,-0.290115546917566,0.499747869474787,0.489351541552085,"stable",0.595282901806287
"LPC O-15:1","Com_7188_neg","LPC O-15:1","C23 H48 N O6 P",511.32724,9.475,510.31997,"No results","Invalid mass","No results",NA,NA,NA,NA,611816.1902,907739.585800001,1142497.682,1489445.517,2080748.003,1779686.041,20.7527353554105,19.7128058382401,1.03992951717043,0.0356584982843432,0.328203603500206,"up",1.86212454673713
"LPE 18:3","Com_3107_neg","LPE 18:3","C23 H42 N O7 P",475.27019,8.777,474.26291,"No results","Full match","No results","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphoethanolamines","1-acyl-sn-glycero-3-phosphoethanolamines",1369492.205,1421651.846,1573432.118,1045455.091,7978302.708,4824264.069,21.7084091799126,20.4699433005189,1.23846587939373,0.283263028537893,0.45967447778269,"stable",1.23142142154361
"13-HPODE","Com_8050_neg","13-HPODE","C18 H32 O4",312.23022,6.95,311.22294,"No results","No results","Full match","Lipids and lipid-like molecules","Fatty Acyls","Lineolic acids and derivatives","Lineolic acids and derivatives",5183802.22,4681108.462,6643017.53599999,6688757.203,4537381.922,3294048.588,22.1460552735093,22.3758017663778,-0.229746492868504,0.630742844716965,0.515946106783591,"stable",0.702921767758469
"Dibutyl sebacate","Com_2805_neg","Dibutyl sebacate","C18 H34 O4",314.24517,8.274,313.23774,"No results","No results","Full match","Lipids and lipid-like molecules","Fatty Acyls","Fatty acid esters","Fatty acid esters",6688026.364,6480987.063,8753299.15999999,7195086.592,5914217.876,3855594.496,22.3842861590826,22.7874422249145,-0.403156065831926,0.415600565243113,0.475865021533509,"stable",1.19879586762479
"Monobutyl phthalate","Com_128_neg","Monobutyl phthalate","C12 H14 O4",222.08925,6.412,221.08198,"Full match","No results","Full match","Benzenoids","Benzene and substituted derivatives","Benzoic acids and derivatives","Benzoic acid esters",202764041.5,182829859.7,145932466.9,269261423.6,220713454.3,117772208.2,27.5111518467725,27.3872929002381,0.123858946534384,0.630407927379327,0.515847128889386,"stable",0.340040867714685
"LPE 14:0","Com_2114_neg","LPE 14:0","C19 H40 N O7 P",425.25445,8.631,424.24717,"No results","Full match","Full match","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphoethanolamines","1-acyl-sn-glycero-3-phosphoethanolamines",5740448.806,5987417.08700001,3650803.414,1940364.116,14526653.18,4110675.315,22.2170129958862,22.2553390006516,-0.0383260047654019,0.96726812087136,0.614897795091188,"stable",0.0468409163626933
"LPE 20:0","Com_4524_neg","LPE 20:0","C25 H52 N O7 P",509.34808,11.005,508.3408,"No results","Full match","Full match","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphoethanolamines","1-acyl-sn-glycero-3-phosphoethanolamines",506943.3053,595203.169599999,1041805.532,3707540.969,811734.802000001,968364.2405,20.4459568087489,19.375047380261,1.07090942848792,0.361967504716817,0.470296019429814,"stable",1.23556268933033
"Lipoic acid","Com_800_neg","Lipoic acid","C8 H14 O2 S2",206.04255,3.299,205.03527,"Full match","No results","Full match","Organoheterocyclic compounds","Dithiolanes","Lipoic acids and derivatives","Lipoic acids and derivatives",58601963.56,67057080.2399999,32589554.5,15256703.25,44642146.98,18692235.63,24.4769262614914,25.5870794320451,-1.11015317055373,0.11840304860553,0.401594490964515,"stable",1.49358263842127
"Lysops 22:6","Com_2698_neg","Lysops 22:6","C28 H44 N O9 P",569.27328,8.959,568.266,"No results","No results","Full match","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphoethanolamines","2-acyl-sn-glycero-3-phosphoethanolamines",3100492.008,57239970.13,62230622.24,66337185.4999999,92645057.6999999,77625919.59,26.219520088734,24.4085688864633,1.81095120227074,0.300613099874272,0.462446786131706,"stable",1.14821867019703
